"mu_log_b_tt","sigma_log_b_tt","mu_log_b_tc","sigma_log_b_tt_tc","sigma_log_b_tc","mu_log_b_hw","sigma_log_b_tt_hw","sigma_log_b_tc_hw","sigma_log_b_hw","mu_log_b_ch","sigma_log_b_tt_ch","sigma_log_b_tc_ch","sigma_log_b_hw_ch","sigma_log_b_ch","logLike"
-3,0,-3,0,0,-3,0,0,0,-3,0,0,0,0,-2253.90922608432
-3,0,-3,0,0,-3,0,0,0,-3,0,0,0,0,-2253.90922608432
-3.23901730169513,4.83389900901179e-06,-2.88918297101121,-4.86625969955192e-05,9.45595515690693e-05,-3.62900903181857,-3.39114214151646e-06,0.000271857715853684,0.000302602158805227,-2.9255642472738,-3.26651243184103e-06,-1.20810571408567e-05,-2.85077142010596e-05,-1.71417928725918e-05,-2121.23380873787
-3.86899563867712,4.11182595089825e-05,-2.4559786255445,-0.000177352643568905,0.000725486074850111,-3.49608774952408,-0.000202722143935006,0.00109047352567916,0.0015093908409554,-2.51368852531455,-2.03554106837202e-05,-5.79468488765759e-05,-0.000230186867023683,-3.7659505984993e-05,-2117.66829559033
-4.25206924849223,0.000554028496485904,-2.45058878434628,-5.46015597602438e-05,0.00924165089833434,-3.44334795721246,-0.00307880197438066,0.0133458649486469,0.0190994371498779,0.771400507621505,-7.9538647288402e-06,-0.00150560083784839,-0.00353052307535147,-0.0002332760670581,-2082.46765239873
-6.74886836969198,0.0127445970834527,-6.9847868540814,0.00568581100883276,0.235539206866335,-3.18303343745998,-0.143891615755716,0.64362287063218,1.04710287605548,-2.08457109102262,0.14378126088965,-0.951925904131175,-2.43025930238594,-0.0332117532889926,-1839.44714609286
-4.82412673205141,0.354171478024591,-4.5397896928576,-0.0041425041539639,0.309823358782012,-3.47388273182288,-1.07896413670984,0.662749393664203,-14.0063725966344,-1.99810852105232,0.466655558513652,-4.66031278845986,-21.2360973576321,-0.1868260979715,-1832.99269758893
-4.16724612368731,1.13044182881559,-3.66760759770796,-0.0858664846659151,0.331839858112355,-3.56142663053282,-1.8085113773111,0.495750892952286,-15.0451542822838,-1.99062653186709,1.06666360509647,-4.80066418915026,-23.457265500647,0.16443033878357,-1784.06692142591
-4.16724612368731,1.13044182881559,-3.66760759770796,-0.0858664846659151,0.331839858112355,-3.55404427014781,-1.80771385101486,0.483492103548371,-15.0737447700584,-1.99062653186709,1.06666360509647,-4.80066418915026,-23.457265500647,0.16443033878357,-1783.49409829694
